District,Facility classification (large),Facility classification (small),Model,Operating institution,Rapid charging amount,Charger type,Charger ID,latitude,longitude
Seocho-gu,Apartment Complex Facility,Business Office,Slow,Other Agency (Subsidized),,AC Slow,1,37.4695875,127.0285077
Jongno-gu,Public Facility,Community Center,Slow,Other Agency (Subsidized),,AC Slow,1,37.5759361,126.967264
Jongno-gu,Public Facility,Community Center,Slow,Other Agency (Subsidized),,AC Slow,1,37.5759275,126.95814
Jongno-gu,Public Facility,Community Center,Slow,Other Agency (Subsidized),,AC Slow,1,37.5719124,126.9619593
Jongno-gu,Public Facility,Community Center,Slow,Other Agency (Subsidized),,AC Slow,1,37.5707605,127.0163177
Jongno-gu,Public Facility,Community Center,Slow,Other Agency (Subsidized),,AC Slow,1,37.5779924,127.0146963
Jongno-gu,Public Facility,Community Center,Slow,Other Agency (Subsidized),,AC Slow,1,37.5778304,127.0156304
Jongno-gu,Public Facility,Community Center,Slow,Other Agency (Subsidized),,AC Slow,1,37.5748793,127.0199741
Seocho-gu,Apartment Complex Facility,Business Office,Fast,Other Agency,,DC Demo + AC 3-Phase + DC Combo,1,37.4462547,127.05567
Seocho-gu,Apartment Complex Facility,Business Office,Slow,Other Agency,,AC Slow,2,37.4462547,127.05567
Seocho-gu,Apartment Complex Facility,Business Office,Slow,Other Agency,,AC Slow,3,37.4462547,127.05567
Seocho-gu,Apartment Complex Facility,Business Office,Fast,Other Agency,,DC Combo,4,37.4462547,127.05567
Seocho-gu,Apartment Complex Facility,Business Office,Fast,Other Agency,,DC Combo,5,37.4462547,127.05567
Seocho-gu,Apartment Complex Facility,Business Office,Slow,Other Agency,,AC Slow,6,37.4462547,127.05567
Seocho-gu,Apartment Complex Facility,Business Office,Slow,Other Agency,,AC Slow,7,37.4462547,127.05567
Seocho-gu,Apartment Complex Facility,Business Office,Slow,Other Agency,,AC Slow,8,37.4462547,127.05567
Seocho-gu,Apartment Complex Facility,Business Office,Slow,Other Agency,,AC Slow,9,37.4462547,127.05567
Seocho-gu,Apartment Complex Facility,Business Office,Slow,Other Agency,,AC Slow,10,37.4462547,127.05567
Seocho-gu,Apartment Complex Facility,Business Office,Slow,Other Agency,,AC Slow,11,37.4462547,127.05567
Mapo-gu,Apartment Complex Facility,Business Office,Fast,Other Agency,,DC Demo + AC 3-Phase + DC Combo,1,37.5757953,126.9004557
Mapo-gu,Apartment Complex Facility,Business Office,Slow,Other Agency,,AC Slow,2,37.5757953,126.9004557
Mapo-gu,Apartment Complex Facility,Business Office,Slow,Other Agency,,AC Slow,1,37.576549,126.8917659
Mapo-gu,Apartment Complex Facility,Business Office,Slow,Other Agency,,AC Slow,2,37.576549,126.8917659
Mapo-gu,Apartment Complex Facility,Business Office,Slow,Other Agency,,AC Slow,1,37.5727844,126.8982035
Mapo-gu,Apartment Complex Facility,Business Office,Slow,Other Agency,,AC Slow,2,37.5727844,126.8982035
Gangnam-gu,Apartment Complex Facility,Business Office,Slow,Other Agency,,AC Slow,1,37.4919843,127.058717
Gangnam-gu,Apartment Complex Facility,Business Office,Slow,Other Agency,,AC Slow,2,37.4919843,127.058717
Gangdong-gu,Tourism Facility,Historical Site,Slow,Other Agency (Subsidized),,AC Slow,1,37.5609568,127.1306436
Seodaemun-gu,Public Facility,Community Center,Slow,Other Agency (Subsidized),,AC Slow,1,37.574273,126.9101854
Seodaemun-gu,Public Facility,Community Center,Slow,Other Agency (Subsidized),,AC Slow,1,37.5595641,126.9436138
Seodaemun-gu,Public Facility,Community Center,Slow,Other Agency (Subsidized),,AC Slow,1,37.5710895,126.9590546
Seodaemun-gu,Public Facility,Community Center,Slow,Other Agency (Subsidized),,AC Slow,1,37.5988376,126.9471453
Seodaemun-gu,Public Facility,Community Center,Slow,Other Agency (Subsidized),,AC Slow,1,37.5800601,126.9341401
Seodaemun-gu,Public Facility,Community Center,Slow,Other Agency (Subsidized),,AC Slow,1,37.59376110000001,126.9497306
Yangcheon-gu,Public Facility,Public Institution,Slow,Other Agency (Subsidized),,AC Slow,1,37.5195361,126.8698778
Yangcheon-gu,Public Facility,Public Institution,Slow,Other Agency (Subsidized),,AC Slow,2,37.5195361,126.8698778
Jongno-gu,Public Facility,Community Center,Slow,Other Agency (Subsidized),,AC Slow,1,37.5800055,126.984774
Yeongdeungpo-gu,Public Facility,Local Government Facility,Slow,Other Agency (Subsidized),,AC Slow,1,37.525511,126.8957693
Yeongdeungpo-gu,Public Facility,Local Government Facility,Slow,Other Agency (Subsidized),,AC Slow,2,37.525511,126.8957693
Yeongdeungpo-gu,Public Facility,Local Government Facility,Slow,Other Agency (Subsidized),,AC Slow,3,37.525511,126.8957693
Yeongdeungpo-gu,Public Facility,Local Government Facility,Slow,Other Agency (Subsidized),,AC Slow,4,37.525511,126.8957693
Nowon-gu,Public Facility,Government Office,Slow,Other Agency (Subsidized),,AC Slow,1,37.6540782,127.0566045
Nowon-gu,Public Facility,Government Office,Slow,Other Agency (Subsidized),,AC Slow,2,37.6540782,127.0566045
Seongdong-gu,Parking Facility,General Parking Lot,Slow,Other Agency (Subsidized),,AC Slow,1,37.5426627,127.0451987
Seongdong-gu,Parking Facility,General Parking Lot,Slow,Other Agency (Subsidized),,AC Slow,2,37.5426627,127.0451987
Yangcheon-gu,Apartment Complex Facility,Business Office,Slow,Other Agency (Subsidized),,AC Slow,1,37.5291671,126.8735502
Yangcheon-gu,Apartment Complex Facility,Business Office,Slow,Other Agency (Subsidized),,AC Slow,2,37.5291671,126.8735502
Yangcheon-gu,Apartment Complex Facility,Business Office,Slow,Other Agency (Subsidized),,AC Slow,3,37.5291671,126.8735502
Jungnang-gu,Public Facility,Community Center,Slow,Other Agency (Subsidized),,AC Slow,1,37.5950121,127.074834
Jungnang-gu,Public Facility,Community Center,Slow,Other Agency (Subsidized),,AC Slow,1,37.6011481,127.0806532
Jungnang-gu,Public Facility,Community Center,Slow,Other Agency (Subsidized),,AC Slow,1,37.5924373,127.083307
Jungnang-gu,Public Facility,Community Center,Slow,Other Agency (Subsidized),,AC Slow,1,37.5790322,127.0869431
Jungnang-gu,Public Facility,Community Center,Slow,Other Agency (Subsidized),,AC Slow,1,37.6005867,127.1015064
Jungnang-gu,Public Facility,Community Center,Slow,Other Agency (Subsidized),,AC Slow,1,37.6062326,127.0941728
Jungnang-gu,Public Facility,Community Center,Slow,Other Agency (Subsidized),,AC Slow,1,37.5897251,127.0790228
Jungnang-gu,Public Facility,Community Center,Slow,Other Agency (Subsidized),,AC Slow,1,37.5747311,127.0855
Jungnang-gu,Public Facility,Community Center,Slow,Other Agency (Subsidized),,AC Slow,1,37.5857538,127.0794729
Gangdong-gu,Public Facility,Public Institution,Slow,Other Agency (Subsidized),,AC Slow,1,37.5290158,127.1260317
Gangdong-gu,Public Facility,Public Institution,Slow,Other Agency (Subsidized),,AC Slow,2,37.5290158,127.1260317
Mapo-gu,Apartment Complex Facility,Business Office,Slow,Other Agency (Subsidized),,AC Slow,1,37.5489642,126.9402233
Jungnang-gu,Other Facility,Other,Slow,Other Agency (Subsidized),,AC Slow,1,37.6140524,127.1045552
Jungnang-gu,Public Facility,Community Center,Slow,Other Agency (Subsidized),,AC Slow,1,37.5873591,127.0875602
Jungnang-gu,Public Facility,Community Center,Slow,Other Agency (Subsidized),,AC Slow,1,37.6124178,127.0784983
Jungnang-gu,Public Facility,Community Center,Slow,Other Agency (Subsidized),,AC Slow,1,37.6058889,127.0994634
Gangseo-gu,Apartment Complex Facility,Business Office,Slow,Other Agency (Subsidized),,AC Slow,1,37.5571746,126.8450326
Mapo-gu,Other Facility,Other,Slow,Other Agency (Subsidized),,AC Slow,1,37.5637553,126.9189741
Geumcheon-gu,Other Facility,Other,Slow,Other Agency (Subsidized),,AC Slow,1,37.46760210000001,126.886505
Geumcheon-gu,Other Facility,Other,Slow,Other Agency (Subsidized),,AC Slow,2,37.46760210000001,126.886505
Geumcheon-gu,Other Facility,Other,Slow,Other Agency (Subsidized),,AC Slow,3,37.46760210000001,126.886505
Geumcheon-gu,Other Facility,Other,Slow,Other Agency (Subsidized),,AC Slow,4,37.46760210000001,126.886505
Guro-gu,Apartment Complex Facility,Villa,Slow,Other Agency (Subsidized),,AC Slow,1,37.492332,126.8310208
Seocho-gu,Apartment Complex Facility,Business Office,Slow,Other Agency (Subsidized),,AC Slow,1,37.4651364,127.0232614
Seocho-gu,Apartment Complex Facility,Business Office,Slow,Other Agency (Subsidized),,AC Slow,2,37.4651364,127.0232614
Seocho-gu,Apartment Complex Facility,Business Office,Slow,Other Agency (Subsidized),,AC Slow,3,37.4651364,127.0232614
Seocho-gu,Apartment Complex Facility,Business Office,Slow,Other Agency (Subsidized),,AC Slow,4,37.4651364,127.0232614
Seocho-gu,Apartment Complex Facility,Business Office,Slow,Other Agency (Subsidized),,AC Slow,5,37.4651364,127.0232614
Seocho-gu,Apartment Complex Facility,Business Office,Slow,Other Agency (Subsidized),,AC Slow,6,37.4651364,127.0232614
Seocho-gu,Apartment Complex Facility,Business Office,Slow,Other Agency (Subsidized),,AC Slow,1,37.4651364,127.0232614
Seocho-gu,Apartment Complex Facility,Business Office,Slow,Other Agency (Subsidized),,AC Slow,1,37.4665057,127.0228961
Seocho-gu,Apartment Complex Facility,Business Office,Slow,Other Agency (Subsidized),,AC Slow,2,37.4665057,127.0228961
Seocho-gu,Apartment Complex Facility,Business Office,Slow,Other Agency (Subsidized),,AC Slow,3,37.4665057,127.0228961
Seocho-gu,Apartment Complex Facility,Business Office,Slow,Other Agency (Subsidized),,AC Slow,4,37.4665057,127.0228961
Seocho-gu,Apartment Complex Facility,Business Office,Slow,Other Agency (Subsidized),,AC Slow,5,37.4665057,127.0228961
Seocho-gu,Apartment Complex Facility,Business Office,Slow,Other Agency (Subsidized),,AC Slow,6,37.4665057,127.0228961
Guro-gu,Commercial Facility,Mart (Shopping Mall),Fast,Other Agency,,DC Demo + AC 3-Phase + DC Combo,1,37.4982344,126.8726564
Songpa-gu,Commercial Facility,Mart (Shopping Mall),Fast,Other Agency,,DC Demo + AC 3-Phase + DC Combo,1,37.5112862,127.0979392
Songpa-gu,Commercial Facility,Mart (Shopping Mall),Slow,Other Agency,,AC Slow,2,37.5112862,127.0979392
Gangbuk-gu,Commercial Facility,Mart (Shopping Mall),Fast,Other Agency,,DC Demo + AC 3-Phase + DC Combo,1,37.6255737,127.0177184
Seongdong-gu,Commercial Facility,Lodging Facility,Fast,Other Agency,,DC Demo + AC 3-Phase + DC Combo,1,37.5511075,127.0493213
Gangseo-gu,Other Facility,Efficiency Apartment,Fast,Other Agency,,DC Demo + DC Combo,4,37.5593023,126.835223
Jungnang-gu,Community Facility,Health Center,Slow,Other Agency (Subsidized),,AC Slow,1,37.6066256,127.0929078
Geumcheon-gu,Commercial Facility,Mart (Shopping Mall),Fast,Other Agency,,DC Demo + AC 3-Phase + DC Combo,1,37.4784556,126.8850161
Geumcheon-gu,Commercial Facility,Mart (Shopping Mall),Fast,Other Agency,,DC Demo + AC 3-Phase + DC Combo,2,37.4784556,126.8850161
Gangseo-gu,Commercial Facility,Mart (Shopping Mall),Fast,Other Agency,,DC Demo + DC Combo,1,37.5650592,126.8029919
Gangseo-gu,Commercial Facility,Mart (Shopping Mall),Fast,Other Agency,,DC Demo + DC Combo,2,37.5650592,126.8029919
Gangseo-gu,Commercial Facility,Mart (Shopping Mall),Fast,Other Agency,,DC Demo + DC Combo,3,37.5650592,126.8029919
Gangseo-gu,Commercial Facility,Mart (Shopping Mall),Fast,Other Agency,,DC Demo + DC Combo,4,37.5650592,126.8029919
Jung-gu,Commercial Facility,Lodging Facility,Fast,Other Agency,,DC Demo + DC Combo,1,37.5648094,126.9810897
Jung-gu,Commercial Facility,Lodging Facility,Fast,Other Agency,,DC Demo + DC Combo,2,37.5648094,126.9810897
Jung-gu,Commercial Facility,Lodging Facility,Slow,Other Agency,,AC Slow,3,37.5648094,126.9810897
Eunpyeong-gu,Public Facility,Government Office,Fast,Other Agency,,DC Demo + AC 3-Phase + DC Combo,1,37.6026712,126.9288772
Yangcheon-gu,Parking Facility,General Parking Lot,Fast,Other Agency,,DC Demo + AC 3-Phase + DC Combo,1,37.5365481,126.8289314
Yangcheon-gu,Parking Facility,General Parking Lot,Fast,Other Agency,,DC Combo,2,37.5365481,126.8289314
Yangcheon-gu,Parking Facility,General Parking Lot,Fast,Other Agency,,DC Combo,3,37.5365481,126.8289314
Gangseo-gu,Vehicle Maintenance Facility,Service Center,Fast,Other Agency,,DC Combo,2,37.5585983,126.8588767
Gangseo-gu,Vehicle Maintenance Facility,Service Center,Fast,Other Agency,,DC Combo,3,37.5585983,126.8588767
Seongdong-gu,Vehicle Maintenance Facility,Service Center,Fast,Other Agency,,DC Combo,2,37.54486929999999,127.0642431
Dobong-gu,Vehicle Maintenance Facility,Service Center,Fast,Other Agency,,DC Combo,2,37.6834715,127.0501832
Geumcheon-gu,Vehicle Maintenance Facility,Service Center,Fast,Other Agency,,DC Combo,2,37.4519191,126.8998944
Gangnam-gu,Commercial Facility,Mart (Shopping Mall),Fast,Other Agency,,DC Demo + DC Combo,1,37.5125207,127.0588194
Gangnam-gu,Commercial Facility,Mart (Shopping Mall),Fast,Other Agency,,DC Demo + DC Combo,2,37.5125207,127.0588194
Gangnam-gu,Commercial Facility,Mart (Shopping Mall),Fast,Other Agency,,DC Demo + DC Combo,3,37.5125207,127.0588194
Gangnam-gu,Commercial Facility,Mart (Shopping Mall),Fast,Other Agency,,DC Demo + DC Combo,4,37.5125207,127.0588194
Gangnam-gu,Commercial Facility,Mart (Shopping Mall),Fast,Other Agency,,DC Demo + DC Combo,5,37.5125207,127.0588194
Gangnam-gu,Commercial Facility,Mart (Shopping Mall),Fast,Other Agency,,DC Demo + DC Combo,6,37.5125207,127.0588194
Gangnam-gu,Commercial Facility,Mart (Shopping Mall),Fast,Other Agency,,DC Demo + DC Combo,7,37.5125207,127.0588194
Gangnam-gu,Commercial Facility,Mart (Shopping Mall),Fast,Other Agency,,DC Demo + DC Combo,8,37.5125207,127.0588194
Gangnam-gu,Commercial Facility,Mart (Shopping Mall),Fast,Other Agency,,DC Demo + DC Combo,9,37.5125207,127.0588194
Gangnam-gu,Commercial Facility,Mart (Shopping Mall),Fast,Other Agency,,DC Combo,10,37.5125207,127.0588194
Gangnam-gu,Commercial Facility,Mart (Shopping Mall),Fast,Other Agency,,DC Combo,11,37.5125207,127.0588194
Gangnam-gu,Commercial Facility,Mart (Shopping Mall),Fast,Other Agency,,DC Combo,12,37.5125207,127.0588194
Gangnam-gu,Commercial Facility,Mart (Shopping Mall),Fast,Other Agency,,DC Combo,13,37.5125207,127.0588194
Gangnam-gu,Commercial Facility,Mart (Shopping Mall),Fast,Other Agency,,DC Combo,14,37.5125207,127.0588194
Gangnam-gu,Commercial Facility,Mart (Shopping Mall),Fast,Other Agency,,DC Combo,15,37.5125207,127.0588194
Gangnam-gu,Commercial Facility,Mart (Shopping Mall),Fast,Other Agency,,DC Combo,16,37.5125207,127.0588194
Gangnam-gu,Commercial Facility,Mart (Shopping Mall),Fast,Other Agency,,DC Combo,17,37.5125207,127.0588194
Yeongdeungpo-gu,Commercial Facility,Department Store,Fast,Other Agency,,DC Demo + AC 3-Phase + DC Combo,1,37.5260497,126.928296
Yeongdeungpo-gu,Commercial Facility,Department Store,Fast,Other Agency,,DC Demo + AC 3-Phase + DC Combo,2,37.5260497,126.928296
Yeongdeungpo-gu,Commercial Facility,Department Store,Fast,Other Agency,,DC Demo + AC 3-Phase + DC Combo,3,37.5260497,126.928296
Yeongdeungpo-gu,Commercial Facility,Department Store,Fast,Other Agency,,DC Demo + AC 3-Phase + DC Combo,4,37.5260497,126.928296
Yeongdeungpo-gu,Commercial Facility,Department Store,Fast,Other Agency,,DC Demo + AC 3-Phase + DC Combo,5,37.5260497,126.928296
Yeongdeungpo-gu,Commercial Facility,Department Store,Fast,Other Agency,,DC Demo + AC 3-Phase + DC Combo,6,37.5260497,126.928296
Yeongdeungpo-gu,Commercial Facility,Department Store,Fast,Other Agency,,DC Demo + AC 3-Phase + DC Combo,7,37.5260497,126.928296
Yeongdeungpo-gu,Commercial Facility,Department Store,Fast,Other Agency,,DC Demo + AC 3-Phase + DC Combo,8,37.5260497,126.928296
Yeongdeungpo-gu,Commercial Facility,Department Store,Slow,Other Agency,,AC Slow,9,37.5260497,126.928296
Yeongdeungpo-gu,Commercial Facility,Department Store,Slow,Other Agency,,AC Slow,10,37.5260497,126.928296
Yeongdeungpo-gu,Commercial Facility,Department Store,Slow,Other Agency,,AC Slow,11,37.5260497,126.928296
Yeongdeungpo-gu,Commercial Facility,Department Store,Slow,Other Agency,,AC Slow,12,37.5260497,126.928296
Yeongdeungpo-gu,Commercial Facility,Department Store,Slow,Other Agency,,AC Slow,13,37.5260497,126.928296
Yeongdeungpo-gu,Commercial Facility,Department Store,Slow,Other Agency,,AC Slow,14,37.5260497,126.928296
Yeongdeungpo-gu,Commercial Facility,Department Store,Slow,Other Agency,,AC Slow,15,37.5260497,126.928296
Yeongdeungpo-gu,Commercial Facility,Department Store,Slow,Other Agency,,AC Slow,16,37.5260497,126.928296
Yeongdeungpo-gu,Commercial Facility,Department Store,Slow,Other Agency,,AC Slow,17,37.5260497,126.928296
Yeongdeungpo-gu,Commercial Facility,Department Store,Slow,Other Agency,,AC Slow,18,37.5260497,126.928296
Yeongdeungpo-gu,Commercial Facility,Department Store,Slow,Other Agency,,AC Slow,19,37.5260497,126.928296
Yeongdeungpo-gu,Commercial Facility,Department Store,Slow,Other Agency,,AC Slow,20,37.5260497,126.928296
Yeongdeungpo-gu,Commercial Facility,Department Store,Slow,Other Agency,,AC Slow,21,37.5260497,126.928296
Yeongdeungpo-gu,Commercial Facility,Department Store,Slow,Other Agency,,AC Slow,22,37.5260497,126.928296
Yeongdeungpo-gu,Commercial Facility,Department Store,Slow,Other Agency,,AC Slow,23,37.5260497,126.928296
Yeongdeungpo-gu,Commercial Facility,Department Store,Slow,Other Agency,,AC Slow,24,37.5260497,126.928296
Yeongdeungpo-gu,Commercial Facility,Department Store,Slow,Other Agency,,AC Slow,25,37.5260497,126.928296
Yeongdeungpo-gu,Commercial Facility,Department Store,Slow,Other Agency,,AC Slow,26,37.5260497,126.928296
Yeongdeungpo-gu,Commercial Facility,Department Store,Slow,Other Agency,,AC Slow,27,37.5260497,126.928296
Yeongdeungpo-gu,Commercial Facility,Department Store,Slow,Other Agency,,AC Slow,28,37.5260497,126.928296
Yeongdeungpo-gu,Commercial Facility,Department Store,Slow,Other Agency,,AC Slow,29,37.5260497,126.928296
Yeongdeungpo-gu,Commercial Facility,Department Store,Slow,Other Agency,,AC Slow,30,37.5260497,126.928296
Yeongdeungpo-gu,Commercial Facility,Department Store,Slow,Other Agency,,AC Slow,31,37.5260497,126.928296
Yeongdeungpo-gu,Commercial Facility,Department Store,Slow,Other Agency,,AC Slow,32,37.5260497,126.928296
Yeongdeungpo-gu,Commercial Facility,Department Store,Slow,Other Agency,,AC Slow,33,37.5260497,126.928296
Yeongdeungpo-gu,Commercial Facility,Department Store,Slow,Other Agency,,AC Slow,34,37.5260497,126.928296
Yeongdeungpo-gu,Commercial Facility,Department Store,Slow,Other Agency,,AC Slow,35,37.5260497,126.928296
Yeongdeungpo-gu,Commercial Facility,Department Store,Slow,Other Agency,,AC Slow,36,37.5260497,126.928296
Yeongdeungpo-gu,Commercial Facility,Lodging Facility,Fast,Other Agency,,DC Demo + AC 3-Phase + DC Combo,1,37.5260497,126.928296
Yeongdeungpo-gu,Commercial Facility,Lodging Facility,Fast,Other Agency,,DC Demo + AC 3-Phase + DC Combo,2,37.5260497,126.928296
Yeongdeungpo-gu,Commercial Facility,Lodging Facility,Slow,Other Agency,,AC Slow,3,37.5260497,126.928296
Yeongdeungpo-gu,Commercial Facility,Lodging Facility,Slow,Other Agency,,AC Slow,4,37.5260497,126.928296
Jung-gu,Other Facility,Other,Slow,Other Agency,,AC Slow,1,37.561249,126.98782
Yeongdeungpo-gu,Other Facility,Other,Fast,Other Agency,,DC Combo,1,37.5225758,126.9218048
Yeongdeungpo-gu,Other Facility,Other,Slow,Other Agency,,AC Slow,2,37.5225758,126.9218048
Yeongdeungpo-gu,Other Facility,Other,Slow,Other Agency,,AC Slow,3,37.5225758,126.9218048
Yeongdeungpo-gu,Other Facility,Other,Slow,Other Agency,,AC Slow,4,37.5225758,126.9218048
Yeongdeungpo-gu,Other Facility,Other,Slow,Other Agency,,AC Slow,5,37.5225758,126.9218048
Seocho-gu,Commercial Facility,Mart (Shopping Mall),Slow,Other Agency (Subsidized),,AC Slow,1,37.4620262,127.0360987
Seocho-gu,Commercial Facility,Mart (Shopping Mall),Slow,Other Agency (Subsidized),,AC Slow,2,37.4620262,127.0360987
Seocho-gu,Commercial Facility,Mart (Shopping Mall),Slow,Other Agency (Subsidized),,AC Slow,3,37.4620262,127.0360987
Seocho-gu,Commercial Facility,Mart (Shopping Mall),Slow,Other Agency (Subsidized),,AC Slow,4,37.4620262,127.0360987
Seocho-gu,Commercial Facility,Mart (Shopping Mall),Slow,Other Agency (Subsidized),,AC Slow,5,37.4620262,127.0360987
Seocho-gu,Commercial Facility,Mart (Shopping Mall),Slow,Other Agency (Subsidized),,AC Slow,6,37.4620262,127.0360987
Seocho-gu,Commercial Facility,Mart (Shopping Mall),Slow,Other Agency (Subsidized),,AC Slow,7,37.4620262,127.0360987
Seocho-gu,Commercial Facility,Mart (Shopping Mall),Slow,Other Agency (Subsidized),,AC Slow,8,37.4620262,127.0360987
Seocho-gu,Commercial Facility,Mart (Shopping Mall),Slow,Other Agency (Subsidized),,AC Slow,9,37.4620262,127.0360987
Seocho-gu,Commercial Facility,Mart (Shopping Mall),Slow,Other Agency (Subsidized),,AC Slow,10,37.4620262,127.0360987
Jungnang-gu,Commercial Facility,Mart (Shopping Mall),Slow,Other Agency (Subsidized),,AC Slow,1,37.5968635,127.0902125
Jungnang-gu,Commercial Facility,Mart (Shopping Mall),Slow,Other Agency (Subsidized),,AC Slow,2,37.5968635,127.0902125
Jungnang-gu,Commercial Facility,Mart (Shopping Mall),Slow,Other Agency (Subsidized),,AC Slow,3,37.5968635,127.0902125
Jungnang-gu,Commercial Facility,Mart (Shopping Mall),Slow,Other Agency (Subsidized),,AC Slow,4,37.5968635,127.0902125
Jungnang-gu,Commercial Facility,Mart (Shopping Mall),Slow,Other Agency (Subsidized),,AC Slow,5,37.5968635,127.0902125
Jungnang-gu,Commercial Facility,Mart (Shopping Mall),Slow,Other Agency (Subsidized),,AC Slow,6,37.5968635,127.0902125
Jungnang-gu,Commercial Facility,Mart (Shopping Mall),Slow,Other Agency (Subsidized),,AC Slow,7,37.5968635,127.0902125
Jungnang-gu,Commercial Facility,Mart (Shopping Mall),Slow,Other Agency (Subsidized),,AC Slow,8,37.5968635,127.0902125
Jungnang-gu,Commercial Facility,Mart (Shopping Mall),Slow,Other Agency (Subsidized),,AC Slow,9,37.5968635,127.0902125
Jungnang-gu,Commercial Facility,Mart (Shopping Mall),Slow,Other Agency (Subsidized),,AC Slow,10,37.5968635,127.0902125
Yeongdeungpo-gu,Commercial Facility,Mart (Shopping Mall),Slow,Other Agency (Subsidized),,AC Slow,1,37.5278725,126.8922792
Yeongdeungpo-gu,Commercial Facility,Mart (Shopping Mall),Slow,Other Agency (Subsidized),,AC Slow,2,37.5278725,126.8922792
Yeongdeungpo-gu,Commercial Facility,Mart (Shopping Mall),Slow,Other Agency (Subsidized),,AC Slow,3,37.5278725,126.8922792
Yeongdeungpo-gu,Commercial Facility,Mart (Shopping Mall),Slow,Other Agency (Subsidized),,AC Slow,4,37.5278725,126.8922792
Yeongdeungpo-gu,Commercial Facility,Mart (Shopping Mall),Slow,Other Agency (Subsidized),,AC Slow,5,37.5278725,126.8922792
Yeongdeungpo-gu,Commercial Facility,Mart (Shopping Mall),Slow,Other Agency (Subsidized),,AC Slow,6,37.5278725,126.8922792
Yeongdeungpo-gu,Commercial Facility,Mart (Shopping Mall),Fast,Other Agency (Subsidized),,DC Combo,7,37.5278725,126.8922792
Seodaemun-gu,Public Facility,Community Center,Slow,Other Agency (Subsidized),,AC Slow,1,37.5648072,126.9547237
Jongno-gu,Community Facility,Hospital,Slow,Other Agency (Subsidized),,AC Slow,1,37.5715924,126.9901734
Jongno-gu,Community Facility,Hospital,Slow,Other Agency (Subsidized),,AC Slow,2,37.5715924,126.9901734
Gangnam-gu,Apartment Complex Facility,Apartment,Slow,Other Agency (Subsidized),,AC Slow,1,37.4933928,127.0673501
Gangnam-gu,Apartment Complex Facility,Apartment,Slow,Other Agency (Subsidized),,AC Slow,2,37.4933928,127.0673501
Gangnam-gu,Apartment Complex Facility,Apartment,Slow,Other Agency (Subsidized),,AC Slow,3,37.4933928,127.0673501
Guro-gu,Other Facility,Other,Slow,Other Agency (Subsidized),,AC Slow,1,37.4807816,126.8927878
Guro-gu,Other Facility,Other,Slow,Other Agency (Subsidized),,AC Slow,2,37.4807816,126.8927878
Guro-gu,Other Facility,Other,Slow,Other Agency (Subsidized),,AC Slow,3,37.4807816,126.8927878
Yangcheon-gu,Apartment Complex Facility,Apartment,Slow,Other Agency (Subsidized),,AC Slow,1,37.5321813,126.8668363
Guro-gu,Other Facility,Other,Slow,Other Agency (Subsidized),,AC Slow,1,37.4955826,126.890344
Guro-gu,Other Facility,Other,Slow,Other Agency (Subsidized),,AC Slow,2,37.4955826,126.890344
Yongsan-gu,Apartment Complex Facility,Apartment,Slow,Other Agency (Subsidized),,AC Slow,1,37.533371,126.9673883
Yongsan-gu,Apartment Complex Facility,Apartment,Slow,Other Agency (Subsidized),,AC Slow,2,37.533371,126.9673883
Yongsan-gu,Apartment Complex Facility,Apartment,Slow,Other Agency (Subsidized),,AC Slow,3,37.533371,126.9673883
Yongsan-gu,Apartment Complex Facility,Apartment,Slow,Other Agency (Subsidized),,AC Slow,4,37.533371,126.9673883
Yongsan-gu,Apartment Complex Facility,Apartment,Slow,Other Agency (Subsidized),,AC Slow,5,37.533371,126.9673883
Guro-gu,Apartment Complex Facility,Apartment,Slow,Other Agency (Subsidized),,AC Slow,1,37.503955,126.881857
Guro-gu,Apartment Complex Facility,Apartment,Slow,Other Agency (Subsidized),,AC Slow,2,37.503955,126.881857
Guro-gu,Apartment Complex Facility,Apartment,Slow,Other Agency (Subsidized),,AC Slow,3,37.503955,126.881857
Guro-gu,Apartment Complex Facility,Apartment,Slow,Other Agency (Subsidized),,AC Slow,4,37.503955,126.881857
Seocho-gu,Apartment Complex Facility,Apartment,Slow,Other Agency (Subsidized),,AC Slow,1,37.4946034,127.0258999
Seocho-gu,Apartment Complex Facility,Apartment,Slow,Other Agency (Subsidized),,AC Slow,2,37.4946034,127.0258999
Seocho-gu,Apartment Complex Facility,Apartment,Slow,Other Agency (Subsidized),,AC Slow,3,37.4946034,127.0258999
Gangnam-gu,Commercial Facility,Lodging Facility,Slow,Other Agency (Subsidized),,AC Slow,1,37.5090474,127.060893
Gangnam-gu,Commercial Facility,Lodging Facility,Slow,Other Agency (Subsidized),,AC Slow,2,37.5090474,127.060893
Gangnam-gu,Commercial Facility,Lodging Facility,Slow,Other Agency (Subsidized),,AC Slow,3,37.5090474,127.060893
Gangnam-gu,Commercial Facility,Lodging Facility,Slow,Other Agency (Subsidized),,AC Slow,4,37.5090474,127.060893
Gangnam-gu,Commercial Facility,Lodging Facility,Slow,Other Agency (Subsidized),,AC Slow,1,37.5125207,127.0588194
Gangnam-gu,Commercial Facility,Lodging Facility,Slow,Other Agency (Subsidized),,AC Slow,2,37.5125207,127.0588194
Yeongdeungpo-gu,Apartment Complex Facility,Apartment,Slow,Other Agency (Subsidized),,AC Slow,1,37.4972623,126.914426
