"Status";"Add.";"SNAdd.";"BN";"LD";"DoC"
"324";" Closed ";" Seoul Metropolitan City Seongbuk-gu Gireum-dong 1251 ";" Seoul Seongbuk-gu 25-1 Samyang-ro ( Gileum-dong )";" Korea Petroleum ";1982-11-24;"20090710"
"325";" Closed ";" Seoul Metropolitan City Eunpyeong-gu Gupa activation 89-5 ";NA;" Revival Energy ";1983-01-06;NA
"326";" Closed ";" Seoul Metropolitan City Dongjak-gu Sadang-dong 708-395 ";" Seoul Dongjak-gu Sadang-ro 17 Gil 2 ( Sadang-dong )";" Hyundai Petroleum ";1983-01-07;NA
"327";" Closed ";" Seoul Metropolitan City Dongjak-gu Sadang-dong 141-44 ";" Seoul Dongjak-gu Sadang-ro 29 Ga-gil 32 ( Sadang-dong )";" Sekyung Energy Co. , Ltd. Ewha Petrochemical ";1983-01-07;"20101015"
"328";" Closed ";" Seoul Metropolitan City Gangdong-gu Amsa-dong 441-14 ";" Seoul Gangdong-gu 39 Godeok-ro ( Amsa-dong )";" Asia Petroleum Co. , Ltd. Godeok Gas Station ";1983-02-02;"19830202"
"329";" Closed ";" Seoul Metropolitan City Yongsan-gu Bogwang-dong 265-385 ";" Seoul Yongsan-gu Usadan-ro 4- gil 15-1 ( Bogwang-dong )";" Shinil Petrochemical ";1983-02-19;"20121025"
"330";" Closed ";" Seoul Metropolitan City Seongbuk-gu Seokgwan-dong 350-1 ";" Seoul Seongbuk-gu 77 Dolgoji-ro ( Seokgwan-dong )";" Seokdong Trading Company ";1983-03-24;"20080101"
"331";" Closed ";" Seoul Metropolitan City Gangseo-gu Hwagok-dong 1065-9 ";" Seoul Gangseo-gu 157 Hwagok- ro ( Hwagok-dong )";"SK Networks Co. , Ltd. Seongha Gas Station ";1983-04-01;"20090603"
"332";" Closed ";" Seoul Metropolitan City Eunpyeong-gu 625-1 Eungam-dong ";" Seoul Eunpyeong-gu 63 Baeknyeonsan-ro ( Eungam-dong )";" Hanil Petroleum ";1983-07-25;NA
"333";" Closed ";" Seoul Metropolitan City Gangnam-gu 590-16 Sinsa-dong ";" Seoul Gangnam-gu Nonhyeon-ro 152 Gil 13 ( Sinsa-dong )";" Shinsa Petroleum ";1983-08-23;NA
"334";" Closed ";" Seoul Metropolitan City Dongdaemun-gu Yongdu-dong 119-42 ";NA;" Sampyo Petroleum ";1983-09-09;NA
"335";" Open / Normal ";" Seoul Dongdaemun-gu Jeonnong-dong 680-3";" Seoul Dongdaemun-gu 23 Dapsimni- ro 15- gil ( Jeonnong-dong )";" Gusan Energy ";1983-09-13;NA
"336";" Open / Normal ";" Seoul Dongdaemun-gu Jegi-dong 1024";" Seoul Dongdaemun-gu 105 Jeongneungcheondong-ro ( Jegi-dong )";" Cheonil Energy ";1983-09-14;NA
"337";" Closed ";" Seoul Metropolitan City Seongbuk-gu Samseon-dong 4 -ga 339 ";" Seoul Seongbuk-gu Bomun-ro 35- gil 3 ( Samseon-dong 4- ga )";" Namyang Petroleum ";1983-09-28;"20080701"
"338";" Closed ";" Seoul Metropolitan City Dongdaemun-gu Jangan-dong 363-5 ";NA;"LG Petroleum ";1983-11-04;"20090527"
"339";" Open / Normal ";" Seoul Metropolitan City Seongbuk-gu Jongam-dong 30-24";" Seoul Seongbuk-gu 12 Jongam-ro ( Jongam-dong )";" Directly managed by HD Hyundai Oilbank Co. , Ltd. Korea University Self Gas Station ";1983-12-10;NA
"340";" Closed ";" Seoul Metropolitan City Jung-gu 95-19 Euljiro 3- ga ";" Seoul Jung-gu 17 Chungmuro 11- gil ( Euljiro 3- ga )";" Youngjin Petroleum Company ";1983-12-20;"20080104"
"341";" Closed ";" Seoul Metropolitan City Jung-gu Inhyeon-dong 1- ga 15-7 ";" Seoul Jung-gu 24-6 Eulji-ro 20- gil ( Inhyeon-dong 1- ga )";" Sampoong Petroleum ";1983-12-20;"20191218"
"342";" Closed ";" Seoul Metropolitan City Jung-gu 205-24 Namchang-dong ";" Seoul Jung-gu Toegye-ro 4- gil 6 ( Namchang-dong )";" Gwangseong Petroleum ";1983-12-20;"20190415"
"343";" Closed ";" Seoul Metropolitan City Jung-gu Hwanghak-dong 615 ";" Seoul Jung-gu 17-10 Toegye-ro 87- gil ( Hwanghak- dong )";" JoongAng Oil Company ";1983-12-20;"20210414"
"344";" Closed ";" Seoul Metropolitan City Jung-gu Malli-dong 2 -ga 216 ";NA;" Great Petroleum ";1983-12-20;"20041013"
"345";" Closed ";" Seoul Metropolitan City Yeongdeungpo-gu Yeongdeungpo-dong 7 -ga 81-2 ";" Seoul Yeongdeungpo-gu 8-1 , Gukhoe-daero 52- gil ( Yeongdeungpo-dong 7- ga )";" Daekwang Oil ";1984-03-28;"20131004"
"346";" Open / Normal ";" Seoul Seocho-gu Jamwon-dong 13-6";" Seoul Seocho-gu 83 Naruteo ( Jamwon-dong )";" GS Caltex Co., Ltd. Namseoul Gas Station ";1984-04-02;NA
"347";" Closed ";" Seoul Metropolitan City Dongdaemun-gu Hwigyeong-dong 183-141 ";NA;" Daehan Energy Co., Ltd . ";1984-04-10;"20100525"
"348";" Closed ";" Seoul Metropolitan City Jung-gu Hwanghak-dong 1781 ";" Seoul Jung-gu 34 Majang-ro 9- gil ( Hwanghak-dong )";" Youngmi Fuel ";1984-04-19;"20040519"
"349";" Closed ";" Seoul Metropolitan City Dongjak-gu Sadang-dong 1028-28 ";" Seoul Dongjak-gu 14 Ga-gil, 9 Dongjak- daero ( Sadang-dong )";" Dongnam Petroleum ";1984-05-09;NA
"350";" Closed ";" Seoul Metropolitan City Dongjak-gu Sadang-dong 1028-28 ";" Seoul Dongjak-gu 14 Ga-gil, 9 Dongjak- daero ( Sadang-dong )";" Palpal Petroleum ";1984-05-09;NA
"351";" Closed ";" Seoul Metropolitan City Yongsan-gu 130-8 Itaewon-dong ";" Seoul Yongsan-gu 17 Itaewon-ro 26- gil ( Itaewon-dong )";" Geumgang Petroleum ";1984-06-01;"20190927"
"352";" Open / Normal ";" Seoul Gangseo-gu Gayang-dong 58-2";" Seoul Gangseo-gu 391 Yangcheon-ro ( Gayang-dong )";" Directly managed by HD Hyundai Oilbank Co. , Ltd. Gayang Gas Station ";1984-07-05;NA
"353";" Open / Normal ";" Seoul Dongdaemun-gu Jegi-dong 779";" Seoul Dongdaemun-gu Gosanja-ro 502 ( Jegi-dong )";" Seongdongsa Petroleum ";1984-07-19;NA
"354";" Closed ";" Seoul Metropolitan City Gwangjin-gu Jayang-dong 49-173 ";NA;" Seojin Petroleum ";1984-08-14;NA
"355";" Closed ";" Seoul Metropolitan City Gwangjin-gu Jayang-dong 638-18 ";" Seoul Gwangjin-gu 29 Ttukseom- ro 52- gil ( Jayang-dong )";" Resource Oil ";1984-08-14;NA
"356";" Closed ";" Seoul Metropolitan City Gwangjin-gu 226-5 Guui-dong ";" Seoul Gwangjin-gu 61 Guui-ro ( Guui-dong )";" Korea Petroleum ";1984-08-14;NA
"357";" Open / Normal ";" Seoul Metropolitan City Seocho-gu Yangjae-dong 216 ";" Seoul Seocho-gu 173 Yangjae-daero ( Yangjae-dong )";" Daeshin Petrochemical Co. , Ltd. Daewoo Gas Station ";1984-09-08;NA
"358";" Closed ";" Seoul Metropolitan City Dongdaemun-gu Dapsimni-dong 478-10 ";NA;" Andong Petroleum ";1984-09-12;"20090617"
"359";" Open / Normal ";" Seoul Dongdaemun-gu Imun-dong 238-5";" Seoul Dongdaemun-gu 25-1 Sinimun-ro ( Imun-dong )";" Daishin Petroleum ";1984-09-18;NA
"360";" Closed ";" Seoul Metropolitan City Dongjak-gu Heukseok-dong 100-46 ";" Seoul Dongjak-gu 157 Seoda-ro ( Heukseok-dong )";" Myeongsu Petroleum ";1984-10-08;NA
"361";" Open / Normal ";" Seoul Gangnam-gu Gaepo-dong 1164-2";" Seoul Gangnam-gu 339 Yangjae-daero ( Gaepo-dong )";" Daeyang Industrial Co. , Ltd. Gaepo Gas Station ";1984-10-15;NA
"362";" Closed ";" Seoul Metropolitan City Gangnam-gu 940-13 Daechi-dong ";" Seoul Gangnam-gu 435 Dogok-ro ( Daechi-dong )";" Dongwon Gas Station ";1984-10-15;NA
"363";" Closed ";" Seoul Metropolitan City Seocho-gu 1007-4 Bangbae-dong ";" Seoul Seocho-gu 2335 Nambusunhwan-ro ( Bangbae-dong )";" Ginkgo Gas Station ";1984-10-23;NA
"364";" Open / Normal ";" Seoul Seocho-gu Taebong gas station, 13-6 Umyeon-dong ";" Seoul Seocho-gu Taebong-ro 117, Taebong Gas Station # 101,201 ( Umyeon-dong )";" Taebong Gas Station ";1984-10-23;NA
"365";" Closed ";" Seoul Metropolitan City Seongdong-gu Seongsu-dong 2- ga 278-16 ";" Seoul Seongdong-gu 452 Achasan-ro 11- gil ( Seongsu-dong 2- ga )";" dayyu Boss ";1984-10-25;"20030923"
"366";" Open / Normal ";" Seoul Seocho-gu Yangjae-dong 81 ";" Seoul Seocho-gu Baumeuro 178 ( Yangjae-dong )";" Seoul Petrochemical Co. , Ltd. Yangjae Gas Station ";1984-11-22;NA
"367";" Closed ";" Seoul Metropolitan City Gangnam-gu Gaepo-dong 167-9 ";" Seoul Gangnam-gu 34 Seolleung-ro ( Gaepo-dong )";" Directly managed by Dongil Oil Co. , Ltd. Nambu Gas Station ";1984-12-26;"20200803"
"368";" Open / Normal ";" Seoul Seongbuk-gu Jangwi-dong 75-114 ";" Seoul Seongbuk-gu 147 Dolgoji-ro ( Jangwi-dong )";" Credit Oil ";1985-02-28;NA
"369";" Open / Normal ";" Seoul Guro-gu Garibong-dong 9-1 ";NA;" Jeil Petrochemical ";1985-03-11;NA
"370";" Closed ";" Seoul Metropolitan City Seodaemun-gu 418-20 Bukgajwa-dong ";NA;" Seomun Mobile Oil ";1985-03-26;"20090227"
"371";" Open / Normal ";" Seoul Gangnam-gu Daechi-dong 904-13 ";" Seoul Gangnam-gu 449 Yeoksam-ro ( Daechi-dong )";"GS Dongwon Petroleum ";1985-04-19;NA
"372";" Closed ";" Seoul Metropolitan City Songpa-gu Garak-dong 600 ";" Seoul Songpa-gu Yangjae-daero 932 ( Garak-dong )";" Heungjin Dairy Co. , Ltd. Garak -dong Gas Station ";1985-04-20;"20111215"
"373";" Open / Normal ";" Seoul Jung-gu 165-1, Sindang-dong ";" Seoul Jung-gu 47 Toegye-ro 90- gil ( Sindang-dong )";" Shindang Petroleum ";1985-05-13;NA
"374";" Open / Normal ";" Seoul Dongjak-gu Noryangjin-dong 302-259 ";" Seoul Dongjak-gu 34 Jangseungbaegi-ro 19- gil ( Noryangjin-dong )";" Union Marketing ";1985-05-30;NA
"375";" Cancel / Expunge / Expire / Suspension / Stop ";" Seoul Metropolitan Government Guro-gu Gaebong-dong 62-19 ";" Seoul Guro-gu 16 Gocheok- ro 19- gil ( Gaebong-dong )";" Chinese and Western oil painting ";1985-06-05;NA
"376";" Closed ";" Seoul Metropolitan City Guro-gu Room 407, Building B , Hansung Shopping Center, 609-1, Guro-dong ";" Seoul Guro-gu # 407 , Building B, 51 Gyeongin -ro 55 - gil ( Guro-dong , Hanseong Shopping Center )";" Three Gorges Industry ";1985-06-05;NA
"377";" Closed ";" Seoul Metropolitan City Seodaemun-gu 159-37 Bukahyeon-dong ";NA;" Saudi Oil ";1985-06-19;NA
"378";" Closed ";" Seoul Metropolitan City Gangnam-gu Dogok-dong 543-2 ";" Seoul Gangnam-gu 208 Dogok-ro ( Dogok-dong )";" SK Networks Co. , Ltd. Jindallae Gas Station ";1985-06-20;"20120216"
"379";" Open / Normal ";" Seoul Songpa-gu Jamsil-dong 305-11";" Seoul Songpa-gu 438 Dogok-ro ( Jamsil-dong )";" Sampyo Energy Co. , Ltd. Asia Gas Station ";1985-06-21;NA
"380";" Closed ";" Seoul Metropolitan City Seongbuk-gu Jongam-dong 124-21 ";" Seoul Seongbuk-gu 444-1 Jeongneung-ro ( Jongam-dong )";" Donga Petrochemical ";1985-07-02;"20080101"
"381";" Closed ";" Seoul Metropolitan City Dongdaemun-gu Jangan-dong 398-10 ";NA;" Shin-ah Company ";1985-07-19;"20100204"
"382";" Closed ";" Seoul Metropolitan City Songpa-gu 133-1 Samjeon-dong ";" Seoul Songpa-gu 65 Samhaksa-ro ( Samjeon-dong )";" Sekwang Petroleum ";1985-07-23;"20130729"
"383";" Closed ";" Seoul Metropolitan City Seongdong-gu 234-1 Eungbong-dong ";NA;" Hanyang Oil ";1985-08-05;NA
"384";" Open / Normal ";" Seoul Guro-gu Guro-dong 106-5";" Seoul Guro-gu 293 Gamasan-ro ( Guro-dong )";" Directly managed by HD Hyundai Oilbank Co. , Ltd. Singuro Gas Station ";1985-08-26;NA
"385";" Open / Normal ";" Seoul Jung-gu Jooju-dong 108";" Seoul Jung-gu 34 Eulji-ro 27- gil ( Juju-dong )";" Seoul Petroleum ";1985-08-27;NA
"386";" Closed ";" Seoul Metropolitan City Geumcheon-gu 999-4, Doksan-dong ( Doosan Elementary School 2 -gil 5) ";" Seoul Geumcheon-gu 65 Beoman- ro 11- gil ( Doksan-dong )";" Middle East Oil ";1985-09-30;"20070820"
"387";" Closed ";" Seoul Metropolitan City Mapo-gu Ahyeon-dong 611-7 ";NA;" Sampyo Petroleum ";1985-10-18;"20090203"
"388";" Closed ";" Seoul Metropolitan City Seongbuk-gu Seokgwan-dong 58-315 ";" Seoul Seongbuk-gu 60 Dolgoji-ro 8- gil ( Seokgwan-dong )";" Dongbo Petroleum ";1985-11-05;"20070405"
"389";" Closed ";" Seoul Metropolitan City Seongdong-gu Seongsu-dong 2 -ga 277-55 ";NA;" Camp Petroleum Co. , Ltd .";1986-01-30;"20120130"
"390";" Closed ";" Seoul Metropolitan City Songpa-gu Ogeum-dong 129-6";" Seoul Songpa-gu Dongnam-ro 298 ( Ogeum-dong )";" Nanjing Petrochemical Co. , Ltd. Seyoung Gas Station ";1986-02-21;"20220729"
"391";" Closed ";" Seoul Metropolitan City Songpa-gu Geoyeo-dong 26-1";" Seoul Songpa-gu Geoma-ro 5 ( Geoyeo-dong )";" Directly managed by Hyundai Oilbank Co. , Ltd. Geoyeo Self Gas Station ";1986-03-05;"20220530"
"392";" Closed ";" Seoul Metropolitan City Songpa-gu Bangi-dong 226-10 ";" Seoul Songpa-gu 241 Ogeum- ro ( Bangi-dong )";" Taerim Petrochemical Co., Ltd. Gangdong Gas Station ";1986-03-05;"20160212"
"393";" Open / Normal ";" Seoul Jung-gu Sindang-dong 122-12";" Seoul Jung-gu Dasan-ro 42 Na-gil 10 ( Sindang-dong )";" Daeho Energy ";1986-03-25;NA
"394";" Closed ";" Seoul Metropolitan City Seongdong-gu Geumho-dong 3 -ga 1257-4 ";" Seoul Seongdong-gu 26 Geumhosan-gil ( Geumho-dong 3 -ga )";" Daesung Oil ";1986-05-14;"20111125"
"395";" Open / Normal ";" Seoul Gangbuk-gu Beondong 428-38";" Seoul Gangbuk-gu 918 Hancheon-ro ( Beon-dong )";" Sewon Gas Station ";1986-06-20;NA
"396";" Open / Normal ";" Seoul Gangnam-gu Sinsa-dong 638";" Seoul Gangnam-gu 302 Apgujeong-ro ( Sinsa-dong )";" Directly managed by HD Hyundai Oilbank Co. , Ltd. Hanyang Gas Station ";1986-06-20;NA
"397";" Open / Normal ";" Seoul Gangbuk-gu Suyu-dong 277-20";" Seoul Gangbuk-gu 484 Samyang-ro ( Suyu-dong )";" Daesung Petroleum Co. , Ltd. Shingwang Gas Station ";1986-07-09;NA
"398";" Open / Normal ";" Seoul Geumcheon-gu 535-155 Gasan-dong ( 33 Seobu Saet-gil )";" Seoul Geumcheon-gu 674 Seobu Saet-gil ( Gasan-dong )";" Old Gwang Gas Station ";1986-07-22;NA
"399";" Open / Normal ";" Seoul Seongbuk-gu Jangwi-dong 219-43 ";" Seoul Seongbuk-gu 128 Wolgye- ro ( Jangwi-dong )";"SK Energy Co., Ltd. Dreamland Gas Station ";1986-07-31;NA
"400";" Closed ";" Seoul Metropolitan City Seodaemun-gu 327-12 Bukgajwa-dong ";" Seoul Seodaemun-gu 101 Eungam- ro ( Bukgajwa-dong )";"SK Networks Co. , Ltd. Pyeonghwa Gas Station ";1986-08-14;"20171129"
"401";" Closed ";" Seoul Metropolitan City Guro-gu Gocheok-dong 189 ";" Seoul Guro-gu 239 Gocheok-ro ( Gocheok-dong )";" Gocheok Gas Station ";1986-09-13;"20150212"
"402";" Closed ";" Seoul Metropolitan City Guro-gu Gocheok-dong 189 ";" Seoul Guro-gu 239 Gocheok- ro ( Gocheok-dong )";"SK Networks Co. , Ltd. Gocheok Gas Station ";1986-09-13;NA
"403";" Closed ";" Seoul Metropolitan City Gangnam-gu Nonhyeon-dong 183-8 ";" Seoul Gangnam-gu 26 Gangnam-daero 118- gil ( Nonhyeon-dong )";" Joyang Petroleum ";1986-10-04;NA
"404";" Closed ";" Seoul Metropolitan City Yongsan-gu Hangang-ro 2- ga 311-1 ";" Seoul Yongsan-gu Hangang-daero 39- gil 5 ( Hangang-ro 2- ga )";" Najeong Petroleum ";1986-10-23;NA
"405";" Closed ";" Seoul Metropolitan City Dongdaemun-gu Lee Mun-dong 255-119 ";NA;" Shinsa 3 Gas Station ";1986-11-04;"20000101"
"406";" Closed ";" Seoul Metropolitan City Gangseo-gu Hwagok-dong 1082-25 ";" Seoul Gangseo-gu 19 Hwagok-ro 20- gil ( Hwagok-dong )";" Daesung Petroleum Company ";1986-11-05;"20130628"
"407";" Closed ";" Seoul Metropolitan City Gangnam-gu Nonhyeon-dong 141-17 ";" Seoul Gangnam-gu 8 Hakdong-ro 4- gil ( Nonhyeon-dong )";" Yeonggwang Petroleum ";1986-11-10;NA
"408";" Closed ";" Seoul Metropolitan City Gangseo-gu 566-28 Deungchon-dong and 4 lots ";" Seoul Gangseo-gu 65 Deungchon-ro ( Deungchon -dong )";"SK Networks Co., Ltd. Dongbang Gas Station ";1986-11-17;"20171101"
"409";" Closed ";" Seoul Metropolitan City Eunpyeong-gu Galhyeon-dong 428-4 ";" Seoul Eunpyeong-gu 270 Galhyeon-ro ( Galhyeon-dong )";" Leewon Dairy Products ";1986-12-09;NA
"410";" Open / Normal ";" Seoul Dobong-gu Banghak-dong 668-10 ";" Seoul Dobong-gu 186 Banghak-ro ( Banghak-dong )";" GS Caltex Co. , Ltd. Banghak -dong Gas Station ";1986-12-30;NA
"411";" Open / Normal ";" Seoul Seongbuk-gu 401-15 Jeongneung-dong Wonje 1 Gas Station ";" Seoul Seongbuk-gu 52 Bogukmun-ro , Woncheonje 1 Gas Station ( Jeongneung-dong )";" EK Energy Co. , Ltd. Gangsanje 2 Gas Station ";1987-01-14;NA
"412";" Closed ";" Seoul Metropolitan City Seodaemun-gu Namgajwa-dong 124-382 ";NA;" General Petroleum Trading Company ";1987-03-13;"20081024"
"413";" Open / Normal ";" Seoul Metropolitan City Mapo-gu Mangwon-dong 481-3 ";" Seoul Mapo-gu 119 World Cup-ro ( Mangwon-dong )";" Anguk Energy Co. , Ltd. Mangwon-dong Gas Station ";1987-04-02;NA
"414";" Open / Normal ";" Seoul Metropolitan City Gwangjin-gu Jayang-dong 677-5";" Seoul Gwangjin-gu 37 Jayang-ro ( Jayang-dong )";" Directly managed by HD Hyundai Oilbank Co. , Ltd. Jangho Self Gas Station ";1987-04-09;NA
"415";" Closed ";" Seoul Metropolitan City Geumcheon-gu 905-54 Siheung-dong ( 362 Doksandong-gil ) ";" Seoul Geumcheon-gu 7 Doksan-ro ( Siheung-dong )";" Brother Petroleum ";1987-04-10;NA
"416";" Closed ";" Seoul Metropolitan City Dongdaemun-gu Jangan-dong 338-10 ";NA;" Jangwon Petroleum ";1987-04-27;"20150317"
"417";" Closed ";" Seoul Metropolitan City Gangbuk-gu Mia-dong 203-2 ";" Seoul Gangbuk-gu 233 Dobong-ro ( Mia-dong )";" Dobong-ro Gas Station ";1987-04-27;"20130701"
"418";" Closed ";" Seoul Metropolitan City Geumcheon-gu Doksan-dong 1026-18 ";" Seoul Geumcheon-gu 1247 Beoman-ro ( Doksan-dong )";" Brother Cleaning Company ";1987-05-12;NA
"419";" Open / Normal ";" Seoul Seocho-gu Seocho-dong 1519-6 ";" Seoul Seocho-gu 33 Myeongdal- ro 16- gil ( Seocho-dong )";" Seocho Energy ";1987-05-28;NA
"420";" Open / Normal ";" Seoul Gangdong-gu Cheonho-dong 47-1 ";" Seoul Gangdong-gu 86, Cheonjung-ro 35- gil ( Cheonho-dong )";" Dongbu Energy ";1987-05-29;NA
"421";" Closed ";" Seoul Metropolitan City Gwangjin-gu Jayang-dong 16-25 ";" Seoul Gwangjin-gu 19 Dongil - ro 18- gil ( Jayang-dong )";" Geumgang Petroleum ";1987-06-19;NA
"422";" Open / Normal ";" Seoul Dongdaemun-gu Dapsimni-dong 483-41";" Seoul Dongdaemun-gu Cheonho-daero 67- gil 36 ( Dapsimni-dong )";" Hyundai Petroleum ";1987-06-25;NA
"423";" Closed ";" Seoul Metropolitan City Gangnam-gu Daechi-dong 50-8 Daechi-dong Gas Station ";" Seoul Gangnam-gu 202 Yeongdong- daero ( Daechi-dong )";" Dongil Oil Co., Ltd. Daechi - dong Gas station ";1987-07-18;"20180129"
"424";" Closed ";" Seoul Metropolitan City Gangnam-gu 50-8 Daechi-dong ";" Seoul Gangnam-gu 202 Yeongdong- daero ( Daechi-dong )";" Daechi-dong gas station ";1987-07-18;"20180129"
"425";" Closed ";" Seoul Metropolitan City Eunpyeong-gu 83-27 Yeokchon-dong ";" Seoul Eunpyeong-gu Yeonseo-ro 23 ( Yeokchon-dong )";" Kyunghyang Energy ";1987-07-23;NA
"426";" Closed ";" Seoul Metropolitan City Dongdaemun-gu Jeonnong-dong 295-478";" Seoul Dongdaemun-gu 103 Sagajeong-ro ( Jeonnong-dong )";" Dongil Petroleum Co. , Ltd. Gangnam Gas Station ";1987-08-20;NA
"427";" Closed ";" Seoul Metropolitan City Jungnang-gu 50-2 Myeonmok-dong ";" Seoul Jungnang-gu 401 Yongmasan-ro ( Myeonmok-dong )";" Myeonmok-dong Gas station ";1987-09-01;"20160516"
"428";" Closed ";" Seoul Metropolitan City Jung-gu 241-15 Sindang-dong ";" Seoul Jung-gu Dasan-ro 33 Ga-gil 25 ( Sindang-dong )";" Ilkwang Petroleum ";1987-09-09;"20050608"
"429";" Closed ";" Seoul Metropolitan City Guro-gu Guro-dong 426-76 ";" Seoul Guro-gu 208 Gamasan-ro ( Guro-dong )";" Taeyang Petroleum ";1987-12-05;"20130412"
"430";" Open / Normal ";" Seoul Yangcheon-gu Shinwol-dong 513-5 ";" Seoul Yangcheon-gu 14 Woljeong-ro ( Sinwol-dong )";" Han River Petroleum ";1988-01-01;NA
"431";" Open / Normal ";" Seoul Metropolitan City Yangcheon-gu 1029-45 Sinjeong-dong ";" Seoul Yangcheon-gu 52 Eunhaengjeong- ro 5- gil ( Sinjeong-dong )";" Shinjeong Petroleum ";1988-01-01;NA
"432";" Closed ";" Seoul Metropolitan City Yangcheon-gu Sinjeong-dong 884-2";" Seoul Yangcheon-gu Eunhaengjeong- ro 20- gil 2 ( Sinjeong-dong )";"SK Petroleum ( petroleum , kerosene , boiler kerosene , indoor kerosene , heating oil , white kerosene ) delivery ";1988-01-01;NA
"433";" Closed ";" Seoul Metropolitan City Yangcheon-gu Mokdong 546-4 ";" Seoul Yangcheon-gu Mokdong Jungangbon-ro 28- gil 1 ( Mok-dong )";" Yukyung Petroleum ";1988-01-01;"20040623"
"434";" Closed ";" Seoul Metropolitan City Yangcheon-gu Mokdong 721-10 ";" Seoul Yangcheon-gu Mokdong Jungangnam-ro 3 Ga-gil 93 ( Mok-dong )";" Daishin Energy ";1988-01-01;"20070316"
"435";" Closed ";" Seoul Metropolitan City Yangcheon-gu Sinwol-dong 428-5 ";" Seoul Yangcheon-gu 43 Woljeong-ro ( Sinwol-dong )";" Gyeongchang Petroleum ";1988-01-01;"20080724"
"436";" Closed ";" Seoul Metropolitan City Yangcheon-gu Sinwol-dong 136-8 ";" Seoul Yangcheon-gu Nambusunhwan-ro 59- gil 3 ( Sinwol-dong )";" Daeha Oil ";1988-01-01;"20070724"
"437";" Closed ";" Seoul Metropolitan City Jungnang-gu 501-25 Myeonmok-dong ";" Seoul Jungnang-gu Myeonmok-ro 55- gil 6 ( Myeonmok-dong )";" Nanjing Trading Company ";1988-01-19;"20160715"
"438";" Closed ";" Seoul Metropolitan City Dongjak-gu Sadang-dong 206-6 ";" Seoul Dongjak-gu 158 Sadang-ro ( Sadang-dong )";" Palpal gas station ";1988-02-16;"20130621"
"439";" Closed ";" Seoul Metropolitan City Jongno-gu Ihwa-dong 13-2 ";NA;" Functional Petroleum ";1988-02-27;NA
"440";" Closed ";" Seoul Metropolitan City Jung-gu Gwanghui-dong 1- ga 366-127 ";NA;" Directly managed by Hyundai Oil Refining Co. , Ltd. Beotigogae gas station ";1988-03-02;"20030804"
"441";" Closed ";" Seoul Metropolitan City Guro-gu Garibong-dong 134-124 ";" Seoul Guro-gu 20 ways to go digital 13 ( Garibong-dong )";" Industrial Complex Petroleum ";1988-03-02;NA
"442";" Closed ";" Seoul Metropolitan City Gwanak-gu Sillim-dong 1514-1 ";" Seoul Gwanak-gu 135 Sillim-ro ( Sillim-dong )";" Yukil Gas Station ";1988-03-09;"20071113"
"443";" Open / Normal ";" Seoul Dongjak-gu Sangdo-dong 121-21";" Seoul Dongjak-gu 403 Sangdo-ro ( Sangdo-dong )";" Directly managed by HD Hyundai Oilbank Co. , Ltd. Dongjak Gas Station ";1988-03-12;NA
"444";" Open / Normal ";" Seoul Seongbuk-gu Jeongneung-dong 404-4";" Seoul Seongbuk-gu 35 Bogukmun- ro ( Jeongneung-dong )";" Sampyo Energy Co. , Ltd. Jeongneung Gas Station ";1988-03-16;NA
"445";" Closed ";" Seoul Metropolitan City Yangcheon-gu Sinjeong-dong 183-2 ";NA;" Taesung Energy Co., Ltd. ";1988-03-29;NA
"446";" Closed ";" Seoul Metropolitan City Yangcheon-gu Mokdong 128-13 ";" Seoul Yangcheon-gu Mokdongjungang-ro 13 Ga-gil 12 ( Shepherd )";" Dongwha Industry ";1988-03-29;NA
"447";" Closed ";" Seoul Metropolitan City Yangcheon-gu Sinjeong-dong 985-1 ";" Seoul Yangcheon-gu 54 Eunhaengjeong-ro ( Sinjeong-dong )";" Donghwa Energy ";1988-04-08;"20200522"
"448";" Closed ";" Seoul Metropolitan City Yangcheon-gu Sinwol-dong 556-12 ";" Seoul Yangcheon-gu Cheonghwang-gil 14 ( Sinwol-dong )";" Ohseong Energy ";1988-04-13;"20111018"
"449";" Closed ";" Seoul Metropolitan City Gangdong-gu Myeongil-dong 47-19 ";" Seoul Gangdong-gu 889 Dongnam-ro ( Myeongil-dong )";" Myeongil-dong City Gas Station ";1988-04-14;"20171201"
"450";" Closed ";" Seoul Metropolitan City Gwangjin-gu 190-25 Junggok-dong ";NA;" Modern Petroleum ";1988-05-10;NA
"451";" Open / Normal ";" Seoul Seocho-gu Bangbae-dong 857-12 ";" Seoul Seocho-gu 96 Bangbaejungang-ro ( Bangbae-dong )";" Bangbae Energy ";1988-07-23;NA
"452";" Closed ";" Seoul Metropolitan City Seocho-gu Yangjae-dong 393-1 ";" Seoul Seocho-gu Nonhyeon-ro 23 ( Yangjae-dong )";"( Joongang Dairy Co., Ltd. ) " ;1988-08-01;NA
"453";" Closed ";" Seoul Metropolitan City Yangcheon-gu Sinwol-dong 941-7 ";" Seoul Yangcheon-gu Jiyang- ro 9 Gil 23 ( Sinwol-dong )";" Terminus Oil ";1988-08-02;"20030407"
"454";" Closed ";" Seoul Metropolitan City Gwangjin-gu Guui-dong 546-10 ";NA;" Good Energy Co. , Ltd. Guui - dong Gas Station ";1988-08-04;"20110513"
